10.1016/0375-9601(77)90630-2,"Phys. Lett. A (1977) 61, 326-328"
10.1016/0375-9601(80)90411-9,"Phys. Lett. A (1980) 78, 413-415"
10.1016/0375-9601(67)90550-6,"Phys. Lett. A (1967) 26, 45-46"
10.1016/0375-9601(80)90849-x,"Phys. Lett. A (1980) 75, 386-388"
10.1016/0375-9601(76)90651-4,"Phys. Lett. A (1976) 56, 213-214"
10.1088/0031-9120/41/3/007,"Phys. Lett. A (2006) 353, 250-254"
10.1016/j.physleta.2005.07.066,"Phys. Lett. A (2005) 346, 217-221"
10.1016/0375-9601(70)90347-6,"Phys. Lett. A (1970) 31, 551-552"
10.1016/0375-9601(74)90710-5,"Phys. Lett. A (1974) 49, 145-146"
10.1016/0375-9601(80)90411-9,"Phys. Lett. A (1980) 78, 413-415"
10.1016/0375-9601(85)90661-9,"Phys. Lett. A (1985) 113, 89-92"
10.1016/0375-9601(85)90661-9,"Phys. Lett. A (1985) 113, 89-92"
10.1016/0375-9601(74)90710-5,"Phys. Lett. A (1974) 49, 145-146"
10.1016/0375-9601(82)90700-9,"Phys. Lett. A (1982) 87, 294-296"
10.1016/0375-9601(82)90700-9,"Phys. Lett. A (1982) 87, 294-296"
10.1016/j.physleta.2008.02.054,"Phys. Lett. A (2008) 372, 515-518"
10.1016/0375-9601(85)90661-9,"Phys. Lett. A (1985) 113, 89-92"
10.1177/107755876702400415,"Phys. Lett. A (1967) 24, 315-316"
